model,height_m,speed_ms,power_density_wm2
DWIA,202,9.916,633.8
DWIA,204,9.929,636.2
DWIA,206,9.942,638.7
DWIA,208,9.954,641.1
DWIA,210,9.967,643.5
DWIA,212,9.979,645.9
DWIA,214,9.991,648.3
DWIA,216,10.003,650.7
DWIA,218,10.015,653.0
DWIA,220,10.027,655.3
DWIA,222,10.039,657.6
DWIA,224,10.051,659.9
DWIA,226,10.062,662.2
DWIA,228,10.074,664.5
DWIA,230,10.085,666.8
DWIA,232,10.096,669.0
DWIA,234,10.108,671.2
DWIA,236,10.119,673.4
DWIA,238,10.130,675.6
DWIA,240,10.141,677.8
DWIA,242,10.151,680.0
DWIA,244,10.162,682.1
DWIA,246,10.173,684.3
DWIA,248,10.183,686.4
DWIA,250,10.194,688.5
DWIA,252,10.204,690.6
DWIA,254,10.215,692.7
DWIA,256,10.225,694.8
DWIA,258,10.235,696.9
DWIA,260,10.245,698.9
DWIA,262,10.255,701.0
DWIA,264,10.265,703.0
DWIA,266,10.275,705.0
DWIA,268,10.284,707.1
DWIA,270,10.294,709.1
DWIA,272,10.304,711.0
DWIA,274,10.313,713.0
DWIA,276,10.323,715.0
DWIA,278,10.332,716.9
DWIA,280,10.341,718.9
DWIA,282,10.351,720.8
DWIA,284,10.360,722.7
DWIA,286,10.369,724.7
DWIA,288,10.378,726.6
DWIA,290,10.387,728.5
DWIA,292,10.396,730.3
DWIA,294,10.405,732.2
DWIA,296,10.414,734.1
DWIA,298,10.423,735.9
DWIA,300,10.431,737.8
DWIA,302,10.440,739.6
DWIA,304,10.449,741.5
DWIA,306,10.457,743.3
DWIA,308,10.466,745.1
DWIA,310,10.474,746.9
DWIA,312,10.482,748.7
DWIA,314,10.491,750.5
DWIA,316,10.499,752.3
DWIA,318,10.507,754.0
DWIA,320,10.515,755.8
DWIA,322,10.524,757.5
DWIA,324,10.532,759.3
DWIA,326,10.540,761.0
DWIA,328,10.548,762.7
DWIA,330,10.556,764.5
DWIA,332,10.563,766.2
DWIA,334,10.571,767.9
DWIA,336,10.579,769.6
DWIA,338,10.587,771.3
DWIA,340,10.594,772.9
DWIA,342,10.602,774.6
DWIA,344,10.610,776.3
DWIA,346,10.617,777.9
DWIA,348,10.625,779.6
DWIA,350,10.632,781.2
DWIA,352,10.640,782.9
DWIA,354,10.647,784.5
DWIA,356,10.654,786.1
DWIA,358,10.662,787.7
DWIA,360,10.669,789.4
DWIA,362,10.676,791.0
DWIA,364,10.683,792.6
DWIA,366,10.690,794.1
DWIA,368,10.698,795.7
DWIA,370,10.705,797.3
DWIA,372,10.712,798.9
DWIA,374,10.719,800.4
DWIA,376,10.726,802.0
DWIA,378,10.732,803.6
DWIA,380,10.739,805.1
DWIA,382,10.746,806.6
DWIA,384,10.753,808.2
DWIA,386,10.760,809.7
DWIA,388,10.766,811.2
DWIA,390,10.773,812.7
DWIA,392,10.780,814.2
DWIA,394,10.786,815.7
DWIA,396,10.793,817.2
DWIA,398,10.800,818.7
DWIA,400,10.806,820.2
NREL,10,6.000,140.4
NREL,12,6.158,151.8
NREL,14,6.295,162.2
NREL,16,6.417,171.7
NREL,18,6.526,180.6
NREL,20,6.625,189.0
NREL,22,6.715,196.8
NREL,24,6.799,204.3
NREL,26,6.878,211.5
NREL,28,6.951,218.3
NREL,30,7.020,224.8
NREL,32,7.085,231.1
NREL,34,7.146,237.2
NREL,36,7.205,243.1
NREL,38,7.261,248.8
NREL,40,7.314,254.3
NREL,42,7.365,259.7
NREL,44,7.414,264.9
NREL,46,7.462,270.0
NREL,48,7.507,275.0
NREL,50,7.551,279.9
NREL,52,7.593,284.6
NREL,54,7.634,289.2
NREL,56,7.674,293.8
NREL,58,7.713,298.2
NREL,60,7.750,302.6
NREL,62,7.787,306.9
NREL,64,7.822,311.1
NREL,66,7.856,315.2
NREL,68,7.890,319.3
NREL,70,7.923,323.3
NREL,72,7.955,327.2
NREL,74,7.986,331.1
NREL,76,8.016,334.9
NREL,78,8.046,338.6
NREL,80,8.075,342.3
NREL,82,8.104,345.9
NREL,84,8.132,349.5
NREL,86,8.159,353.1
NREL,88,8.186,356.6
NREL,90,8.212,360.0
NREL,92,8.238,363.4
NREL,94,8.264,366.8
NREL,96,8.288,370.1
NREL,98,8.313,373.4
NREL,100,8.337,376.7
NREL,102,8.361,379.9
NREL,104,8.384,383.0
NREL,106,8.407,386.2
NREL,108,8.429,389.3
NREL,110,8.451,392.4
NREL,112,8.473,395.4
NREL,114,8.494,398.4
NREL,116,8.516,401.4
NREL,118,8.536,404.3
NREL,120,8.557,407.3
NREL,122,8.577,410.2
NREL,124,8.597,413.0
NREL,126,8.617,415.9
NREL,128,8.636,418.7
NREL,130,8.655,421.5
NREL,132,8.674,424.2
NREL,134,8.693,427.0
NREL,136,8.711,429.7
NREL,138,8.730,432.4
NREL,140,8.747,435.1
NREL,142,8.765,437.7
NREL,144,8.783,440.4
NREL,146,8.800,443.0
NREL,148,8.817,445.6
NREL,150,8.834,448.1
NREL,152,8.851,450.7
NREL,154,8.867,453.2
NREL,156,8.884,455.7
NREL,158,8.900,458.2
NREL,160,8.916,460.7
NREL,162,8.932,463.2
NREL,164,8.947,465.6
NREL,166,8.963,468.0
NREL,168,8.978,470.4
NREL,170,8.994,472.8
NREL,172,9.009,475.2
NREL,174,9.023,477.6
NREL,176,9.038,479.9
NREL,178,9.053,482.2
NREL,180,9.067,484.6
NREL,182,9.082,486.9
NREL,184,9.096,489.1
NREL,186,9.110,491.4
NREL,188,9.124,493.7
NREL,190,9.138,495.9
NREL,192,9.151,498.1
NREL,194,9.165,500.4
NREL,196,9.178,502.6
NREL,198,9.192,504.8
NREL,200,9.205,506.9
NREL,202,9.218,509.1
NREL,204,9.231,511.3
NREL,206,9.244,513.4
NREL,208,9.256,515.5
NREL,210,9.269,517.6
NREL,212,9.282,519.8
NREL,214,9.294,521.8
NREL,216,9.307,523.9
NREL,218,9.319,526.0
NREL,220,9.331,528.1
NREL,222,9.343,530.1
NREL,224,9.355,532.2
NREL,226,9.367,534.2
NREL,228,9.379,536.2
NREL,230,9.390,538.2
NREL,232,9.402,540.2
NREL,234,9.414,542.2
NREL,236,9.425,544.2
NREL,238,9.436,546.2
NREL,240,9.448,548.1
NREL,242,9.459,550.1
NREL,244,9.470,552.0
NREL,246,9.481,554.0
NREL,248,9.492,555.9
NREL,250,9.503,557.8
NREL,252,9.514,559.7
NREL,254,9.524,561.6
NREL,256,9.535,563.5
NREL,258,9.546,565.4
NREL,260,9.556,567.3
NREL,262,9.567,569.1
NREL,264,9.577,571.0
NREL,266,9.588,572.8
NREL,268,9.598,574.7
NREL,270,9.608,576.5
NREL,272,9.618,578.3
NREL,274,9.628,580.2
NREL,276,9.638,582.0
NREL,278,9.648,583.8
NREL,280,9.658,585.6
NREL,282,9.668,587.4
NREL,284,9.678,589.1
NREL,286,9.687,590.9
NREL,288,9.697,592.7
NREL,290,9.707,594.4
NREL,292,9.716,596.2
NREL,294,9.726,597.9
NREL,296,9.735,599.7
NREL,298,9.744,601.4
NREL,300,9.754,603.1
NREL,302,9.763,604.9
NREL,304,9.772,606.6
NREL,306,9.781,608.3
NREL,308,9.790,610.0
NREL,310,9.799,611.7
NREL,312,9.808,613.4
NREL,314,9.817,615.0
NREL,316,9.826,616.7
NREL,318,9.835,618.4
NREL,320,9.844,620.1
NREL,322,9.853,621.7
NREL,324,9.862,623.4
NREL,326,9.870,625.0
NREL,328,9.879,626.7
NREL,330,9.887,628.3
NREL,332,9.896,629.9
NREL,334,9.904,631.5
NREL,336,9.913,633.2
NREL,338,9.921,634.8
NREL,340,9.930,636.4
NREL,342,9.938,638.0
NREL,344,9.946,639.6
NREL,346,9.954,641.2
NREL,348,9.963,642.8
NREL,350,9.971,644.3
NREL,352,9.979,645.9
NREL,354,9.987,647.5
NREL,356,9.995,649.0
NREL,358,10.003,650.6
NREL,360,10.011,652.2
NREL,362,10.019,653.7
NREL,364,10.027,655.3
NREL,366,10.035,656.8
NREL,368,10.043,658.3
NREL,370,10.050,659.9
NREL,372,10.058,661.4
NREL,374,10.066,662.9
NREL,376,10.073,664.4
NREL,378,10.081,665.9
NREL,380,10.089,667.4
NREL,382,10.096,669.0
NREL,384,10.104,670.4
NREL,386,10.111,671.9
NREL,388,10.119,673.4
NREL,390,10.126,674.9
NREL,392,10.134,676.4
NREL,394,10.141,677.9
NREL,396,10.148,679.4
NREL,398,10.156,680.8
NREL,400,10.163,682.3
